2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.751 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.752 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.753 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.753 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.753 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.754 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.755 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.757 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.757 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.758 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.758 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.759 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.759 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.759 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.760 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.760 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.761 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.761 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.762 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.762 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.763 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.764 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.764 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.765 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.765 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.766 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.766 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.768 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.768 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.769 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.769 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.770 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.770 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.770 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.771 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.771 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.771 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.772 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.772 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.773 ERROR __main__:filter_data:115 - Error filtering data: 'NoneType' object is not subscriptable
2025-05-13 18:08:00.773 INFO __main__:ingest:248 - Initial run - No new data to process
